id_municipio,sigla_uf,municipio,i224
1100205,RO,Porto Velho,3430.95
1200401,AC,Rio Branco,1997.3904761904764
1302603,AM,Manaus,2081.091328413284
1400100,RR,Boa Vista,3096.3900709219856
1500800,PA,Ananindeua,1561.878612716763
1501402,PA,Belém,2874.8473282442746
1504208,PA,Marabá,1438.32
1506807,PA,Santarém,4404.842857142858
1600303,AP,Macapá,2281.0349344978167
1721000,TO,Palmas,3443.395604395604
2111300,MA,São Luís,3311.3709198813053
2211001,PI,Teresina,3190.9377289377285
2303709,CE,Caucaia,1882.2346938775509
2304400,CE,Fortaleza,3457.0217391304345
2408003,RN,Mossoró,1292.731914893617
2408102,RN,Natal,3168.579505300353
2504009,PB,Campina Grande,3567.5
2507507,PB,João Pessoa,3805.5115207373274
2604106,PE,Caruaru,2029.357142857143
2607901,PE,Jaboatão dos Guararapes,2704.6768060836503
2609600,PE,Olinda,3175.2741935483873
2610707,PE,Paulista,3662.163043478261
2611101,PE,Petrolina,3019.9327731092435
2611606,PE,Recife,2396.849927849928
2704302,AL,Maceió,2534.6363636363635
2800308,SE,Aracaju,2335.465277777778
2905701,BA,Camaçari,1327.0729613733906
2910800,BA,Feira de Santana,2409.679536679537
2927408,BA,Salvador,2673.105069124424
2933307,BA,Vitória da Conquista,1818.216931216931
3106200,MG,Belo Horizonte,5996.921800947867
3106705,MG,Betim,4592.081632653061
3118601,MG,Contagem,5028.723880597015
3136702,MG,Juiz de Fora,8493.117647058823
3143302,MG,Montes Claros,11283.189189189188
3154606,MG,Ribeirão das Neves,4113.433734939759
3170107,MG,Uberaba,10633.65625
3170206,MG,Uberlândia,9421.293333333333
3201308,ES,Cariacica,2741.099290780142
3205002,ES,Serra,3032.5706214689267
3205200,ES,Vila Velha,4102.056451612903
3205309,ES,Vitória,3299.410714285714
3300456,RJ,Belford Roxo,12880975
3301009,RJ,Campos dos Goytacazes,3385.809210526316
3301702,RJ,Duque de Caxias,2117.1958997722095
3303302,RJ,Niterói,4831.598130841122
3303500,RJ,Nova Iguaçu,10447.949367088608
3303906,RJ,Petrópolis,11375.703703703703
3304557,RJ,Rio de Janeiro,10423.94
3304904,RJ,São Gonçalo,4224.45
3305109,RJ,São João de Meriti,3698.3203125
3506003,SP,Bauru,10905.885714285714
3509502,SP,Campinas,7070.7341040462425
3510609,SP,Carapicuíba,10667.763157894737
3513801,SP,Diadema,8422.549019607843
3516200,SP,Franca,15588.652173913044
3518701,SP,Guarujá,12499.115384615385
3518800,SP,Guarulhos,14943.553191489362
3523107,SP,Itaquaquecetuba,9245.90243902439
3525904,SP,Jundiaí,11538.783783783783
3526902,SP,Limeira,12949.291666666668
3529401,SP,Mauá,13763.57142857143
3530607,SP,Mogi das Cruzes,16270.964285714288
3534401,SP,Osasco,11313.354838709676
3538709,SP,Piracicaba,9768.452380952382
3541000,SP,Praia Grande,9612.971428571429
3543402,SP,Ribeirão Preto,14696.244897959183
3547809,SP,Santo André,9916.287671232878
3548500,SP,Santos,18869.173913043476
3548708,SP,São Bernardo do Campo,15176.32142857143
3549805,SP,São José do Rio Preto,13404.942857142856
3549904,SP,São José dos Campos,14746.199999999999
3550308,SP,São Paulo,33145.37967914439
3551009,SP,São Vicente,14263.038461538461
3552205,SP,Sorocaba,10225.411764705883
3552403,SP,Sumaré,9995.689655172415
3552502,SP,Suzano,7584925
3552809,SP,Taboão da Serra,14168.000000000002
3554102,SP,Taubaté,9721.818181818182
4104808,PR,Cascavel,6858.632653061224
4106902,PR,Curitiba,6567.645484949833
4113700,PR,Londrina,6245.913978494624
4115200,PR,Maringá,10392.190476190477
4119905,PR,Ponta Grossa,6186.862068965517
4125506,PR,São José dos Pinhais,6313.584905660377
4202404,SC,Blumenau,12635.10344827586
4205407,SC,Florianópolis,8608.733333333334
4209102,SC,Joinville,6871.681818181818
4304606,RS,Canoas,4925.7464788732395
4305108,RS,Caxias do Sul,6089.720930232558
4309209,RS,Gravataí,3858.972972972973
4314407,RS,Pelotas,4775.361111111111
4314902,RS,Porto Alegre,3958.9655172413795
4316907,RS,Santa Maria,5184.709090909091
5002704,MS,Campo Grande,9443.309278350516
5103403,MT,Cuiabá,5470.298245614035
5108402,MT,Várzea Grande,5006.603448275862
5201108,GO,Anápolis,2626
5201405,GO,Aparecida de Goiânia,2812.3551401869163
5208707,GO,Goiânia,3136.342741935484
5300108,DF,Brasília,6263.815789473684
