id_municipio,sigla_uf,nome,pequena,media,grande,m_p,g_m,i322
2609600,PE,Olinda,720,103,39,0.14305555555555555,0.3786407766990291,2.6468093128475823
1504208,PA,Marabá,586,84,26,0.14334470989761092,0.30952380952380953,2.159297052154195
4205407,SC,Florianópolis,2662,385,112,0.1446280991735537,0.2909090909090909,2.0114285714285716
1501402,PA,Belém,3118,587,207,0.18826170622193714,0.3526405451448041,1.8731400677367958
2408102,RN,Natal,2842,443,120,0.15587614356087262,0.2708803611738149,1.7377922944830293
1100205,RO,Porto Velho,1272,210,58,0.1650943396226415,0.2761904761904762,1.6729251700680274
4119905,PR,Ponta Grossa,1269,192,48,0.15130023640661938,0.25,1.65234375
3547809,SP,Santo André,2493,366,86,0.14681107099879662,0.23497267759562843,1.600510615425961
2927408,BA,Salvador,7469,1193,304,0.15972687106707725,0.2548197820620285,1.5953469842592547
3554102,SP,Taubaté,928,149,37,0.16056034482758622,0.24832214765100671,1.546597000135129
2800308,SE,Aracaju,2433,361,82,0.14837648993012742,0.22714681440443213,1.5308814389085412
4202404,SC,Blumenau,1822,275,63,0.1509330406147091,0.2290909090909091,1.5178314049586779
4106902,PR,Curitiba,8804,1473,370,0.16731031349386644,0.25118805159538354,1.5013303504723399
2111300,MA,São Luís,2697,537,159,0.19911012235817574,0.29608938547486036,1.4870634499547457
3205309,ES,Vitória,1944,347,89,0.17849794238683128,0.2564841498559078,1.4369025571178233
1721000,TO,Palmas,1005,179,45,0.1781094527363184,0.25139664804469275,1.4114728004743924
3106200,MG,Belo Horizonte,11816,1956,448,0.16553825321597834,0.22903885480572597,1.3836007711576983
4209102,SC,Joinville,2465,432,102,0.17525354969574036,0.2361111111111111,1.3472543724279835
3136702,MG,Juiz de Fora,1931,296,61,0.1532884515794925,0.20608108108108109,1.3444005661066472
3506003,SP,Bauru,1348,262,68,0.1943620178041543,0.2595419847328244,1.335353417633005
3530607,SP,Mogi das Cruzes,1322,232,54,0.17549167927382753,0.23275862068965517,1.3263228299643282
4314902,RS,Porto Alegre,6941,1195,272,0.17216539403544157,0.22761506276150628,1.3220720925754101
3304557,RJ,Rio de Janeiro,23903,4249,990,0.17776011379324771,0.23299599905860202,1.3107327289945314
3154606,MG,Ribeirão das Neves,291,58,15,0.19931271477663232,0.25862068965517243,1.29756242568371
5002704,MS,Campo Grande,3022,504,109,0.16677696889477167,0.21626984126984128,1.296760833963215
5300108,DF,Brasília,9651,1822,444,0.18878872655683349,0.24368825466520308,1.2907987627738062
3303906,RJ,Petrópolis,1054,147,26,0.13946869070208728,0.17687074829931973,1.2681752973298164
3550308,SP,São Paulo,52091,9195,2050,0.17651801654796415,0.22294725394235998,1.2630283202948855
3304904,RJ,São Gonçalo,1430,221,43,0.15454545454545454,0.19457013574660634,1.2589832313015705
3552502,SP,Suzano,624,120,29,0.19230769230769232,0.24166666666666667,1.2566666666666666
3170206,MG,Uberlândia,2751,464,98,0.16866593965830606,0.21120689655172414,1.2522201991676576
2611606,PE,Recife,6356,1152,261,0.18124606670862178,0.2265625,1.2500271267361112
5201108,GO,Anápolis,1160,193,40,0.16637931034482759,0.20725388601036268,1.2456710247254958
2610707,PE,Paulista,406,73,16,0.17980295566502463,0.2191780821917808,1.2189904297241507
3518701,SP,Guarujá,701,94,15,0.1340941512125535,0.1595744680851064,1.1900181077410594
1302603,AM,Manaus,4146,1008,291,0.24312590448625182,0.28869047619047616,1.1874114229024941
2507507,PB,João Pessoa,2569,435,87,0.16932658622031918,0.2,1.1811494252873564
3301702,RJ,Duque de Caxias,1757,324,70,0.18440523619806487,0.21604938271604937,1.1716011278768481
3538709,SP,Piracicaba,1616,273,54,0.16893564356435645,0.1978021978021978,1.170873082960995
2910800,BA,Feira de Santana,1729,282,52,0.16310005783689993,0.18439716312056736,1.1305769327498616
3205200,ES,Vila Velha,1555,210,32,0.13504823151125403,0.1523809523809524,1.1283446712018141
2211001,PI,Teresina,2677,516,112,0.19275308180799403,0.21705426356589147,1.1260741541974641
5208707,GO,Goiânia,6533,1086,202,0.16623297106995255,0.1860036832412523,1.1189337593140896
3106705,MG,Betim,1147,208,42,0.18134263295553618,0.20192307692307693,1.113489275147929
1200401,AC,Rio Branco,914,179,39,0.19584245076586435,0.21787709497206703,1.1125120938797164
5108402,MT,Várzea Grande,756,108,17,0.14285714285714285,0.1574074074074074,1.1018518518518519
3548708,SP,São Bernardo do Campo,2608,562,131,0.21549079754601227,0.23309608540925267,1.0816985600486315
3170107,MG,Uberaba,1226,185,30,0.15089722675367048,0.16216216216216217,1.0746530314097882
2905701,BA,Camaçari,758,162,37,0.21372031662269128,0.22839506172839505,1.0686633135192807
3301009,RJ,Campos dos Goytacazes,1199,179,28,0.14929107589658047,0.1564245810055866,1.0477825286351863
2933307,BA,Vitória da Conquista,990,141,21,0.14242424242424243,0.14893617021276595,1.0457220461747396
4304606,RS,Canoas,1141,201,37,0.1761612620508326,0.18407960199004975,1.0449493824410288
3552205,SP,Sorocaba,2492,477,95,0.19141252006420545,0.19916142557651992,1.0404827516492403
3143302,MG,Montes Claros,1082,171,28,0.15804066543438078,0.16374269005847952,1.0360794774460518
4113700,PR,Londrina,2616,377,56,0.1441131498470948,0.14854111405835543,1.030725608426148
5201405,GO,Aparecida de Goiânia,1254,268,59,0.21371610845295055,0.22014925373134328,1.0301013588772556
5103403,MT,Cuiabá,2614,508,101,0.1943381790359602,0.19881889763779528,1.0230562961125924
3303302,RJ,Niterói,2347,404,71,0.17213463996591394,0.17574257425742573,1.0209599549063817
3118601,MG,Contagem,2489,492,99,0.1976697468862997,0.20121951219512196,1.017958060678168
1400100,RR,Boa Vista,779,149,29,0.19127086007702182,0.19463087248322147,1.0175667762713392
3543402,SP,Ribeirão Preto,3460,544,86,0.15722543352601157,0.15808823529411764,1.0054876730103806
2504009,PB,Campina Grande,1153,189,31,0.16392020815264527,0.164021164021164,1.0006158842137678
4125506,PR,São José dos Pinhais,1186,246,51,0.20741989881956155,0.2073170731707317,0.9995042633353163
3509502,SP,Campinas,5001,948,179,0.1895620875824835,0.18881856540084388,0.9960776852000214
3549904,SP,São José dos Campos,2343,427,77,0.18224498506188647,0.18032786885245902,0.9894805543824625
3552403,SP,Sumaré,669,134,26,0.20029895366218237,0.19402985074626866,0.9687012697705503
2304400,CE,Fortaleza,8132,1634,314,0.20093457943925233,0.19216646266829865,0.9563633258375793
2704302,AL,Maceió,2814,549,102,0.19509594882729211,0.18579234972677597,0.9523126996924364
4104808,PR,Cascavel,1565,237,34,0.15143769968051118,0.14345991561181434,0.947319695917677
3526902,SP,Limeira,1127,203,34,0.18012422360248448,0.16748768472906403,0.9298454221165279
4314407,RS,Pelotas,1059,155,21,0.14636449480642116,0.13548387096774195,0.9256607700312175
3305109,RJ,São João de Meriti,622,113,19,0.18167202572347266,0.168141592920354,0.9255227504111522
2408003,RN,Mossoró,762,144,25,0.1889763779527559,0.1736111111111111,0.9186921296296297
3549805,SP,São José do Rio Preto,2248,333,45,0.14813167259786478,0.13513513513513514,0.9122636149663177
2611101,PE,Petrolina,1079,172,25,0.15940685820203893,0.14534883720930233,0.911810438074635
4305108,RS,Caxias do Sul,2283,379,57,0.1660096364432764,0.1503957783641161,0.9059460738925516
