id_municipio,id_municipio_6,sigla_uf,nome,pop
1100205,110020,RO,Porto Velho,548952
1200401,120040,AC,Rio Branco,419452
1302603,130260,AM,Manaus,2255903
1400100,140010,RR,Boa Vista,436591
1500800,150080,PA,Ananindeua,540410
1501402,150140,PA,Belém,1506420
1504208,150420,PA,Marabá,287664
1506807,150680,PA,Santarém,308339
1600303,160030,AP,Macapá,522357
2611101,261110,PE,Petrolina,359372
3170206,317020,MG,Uberlândia,706597
3201308,320130,ES,Cariacica,386495
3205002,320500,ES,Serra,536765
3205200,320520,ES,Vila Velha,508655
3205309,320530,ES,Vitória,369534
3300456,330045,RJ,Belford Roxo,515239
3301009,330100,RJ,Campos dos Goytacazes,514643
3301702,330170,RJ,Duque de Caxias,929449
3303302,330330,RJ,Niterói,516981
3303500,330350,RJ,Nova Iguaçu,825388
3303906,330390,RJ,Petrópolis,307144
3304557,330455,RJ,Rio de Janeiro,6775561
3304904,330490,RJ,São Gonçalo,1098357
3305109,330510,RJ,São João de Meriti,473385
4119905,411990,PR,Ponta Grossa,358838
4205407,420540,SC,Florianópolis,516524
4209102,420910,SC,Joinville,604708
4314407,431440,RS,Pelotas,343826
5300108,530010,DF,Brasília,3094325
1721000,172100,TO,Palmas,313349
2111300,211130,MA,São Luís,1115932
2211001,221100,PI,Teresina,871126
2303709,230370,CE,Caucaia,368918
2304400,230440,CE,Fortaleza,2703391
2408102,240810,RN,Natal,896708
2408003,240800,RN,Mossoró,303792
2507507,250750,PB,João Pessoa,825796
2504009,250400,PB,Campina Grande,413830
2607901,260790,PE,Jaboatão dos Guararapes,711330
2609600,260960,PE,Olinda,393734
2610707,261070,PE,Paulista,336919
2611606,261160,PE,Recife,1661017
2604106,260410,PE,Caruaru,369343
2704302,270430,AL,Maceió,1031597
2800308,280030,SE,Aracaju,672614
2905701,290570,BA,Camaçari,309208
2927408,292740,BA,Salvador,2900319
2933307,293330,BA,Vitória da Conquista,343643
2910800,291080,BA,Feira de Santana,624107
3106200,310620,MG,Belo Horizonte,2530701
3106705,310670,MG,Betim,450024
3118601,311860,MG,Contagem,673849
3154606,315460,MG,Ribeirão das Neves,341415
3143302,314330,MG,Montes Claros,417478
3136702,313670,MG,Juiz de Fora,577532
3170107,317010,MG,Uberaba,340277
3510609,351060,SP,Carapicuíba,405375
3513801,351380,SP,Diadema,429550
3518701,351870,SP,Guarujá,324977
3518800,351880,SP,Guarulhos,1404694
3523107,352310,SP,Itaquaquecetuba,379082
3529401,352940,SP,Mauá,481725
3530607,353060,SP,Mogi das Cruzes,455587
3534401,353440,SP,Osasco,701428
3541000,354100,SP,Praia Grande,336454
3547809,354780,SP,Santo André,723889
3548500,354850,SP,Santos,433991
3548708,354870,SP,São Bernardo do Campo,849874
3550308,355030,SP,São Paulo,12396372
3551009,355100,SP,São Vicente,370839
3552502,355250,SP,Suzano,303397
3552809,355280,SP,Taboão da Serra,297528
3552205,355220,SP,Sorocaba,695328
3506003,350600,SP,Bauru,381706
3549805,354980,SP,São José do Rio Preto,469173
3516200,351620,SP,Franca,358539
3543402,354340,SP,Ribeirão Preto,720116
3509502,350950,SP,Campinas,1223237
3525904,352590,SP,Jundiaí,426935
3526902,352690,SP,Limeira,310783
3538709,353870,SP,Piracicaba,410275
3552403,355240,SP,Sumaré,289875
3549904,354990,SP,São José dos Campos,737310
3554102,355410,SP,Taubaté,320820
4106902,410690,PR,Curitiba,1963726
4125506,412550,PR,São José dos Pinhais,334620
4104808,410480,PR,Cascavel,336073
4115200,411520,PR,Maringá,436472
4113700,411370,PR,Londrina,580870
4202404,420240,SC,Blumenau,366418
4304606,430460,RS,Canoas,349728
4309209,430920,RS,Gravataí,285564
4314902,431490,RS,Porto Alegre,1492530
4316907,431690,RS,Santa Maria,285159
4305108,430510,RS,Caxias do Sul,523716
5002704,500270,MS,Campo Grande,916001
5103403,510340,MT,Cuiabá,623614
5108402,510840,MT,Várzea Grande,290383
5201108,520110,GO,Anápolis,396526
5201405,520140,GO,Aparecida de Goiânia,601844
5208707,520870,GO,Goiânia,1555626
