id_municipio,sigla_uf,nome,ice1,ice2,ice3,ice,ice_final
5108402,MT,Varzea Grande,-1.134,5.279,0.938,5.084,8.95
5103403,MT,Cuiaba,0.534,3.256,0.963,4.753,8.758
2611606,PE,Recife,1.027,0.943,1.485,3.455,8.004
4106902,PR,Curitiba,2.61,1.309,-1.007,2.911,7.689
2800308,SE,Aracaju,-0.115,1.19,1.793,2.869,7.665
3106200,MG,Belo Horizonte,2.134,1.523,-0.805,2.852,7.655
3550308,SP,Sao Paulo,3.534,0.101,-0.908,2.727,7.582
3303302,RJ,Niteroi,0.739,-0.526,2.316,2.53,7.468
3534401,SP,Osasco,2.19,0.055,0.068,2.313,7.342
3549904,SP,Sao Jose Dos Campos,1.542,-0.223,0.979,2.297,7.333
3303500,RJ,Nova Iguacu,-1.01,1.297,1.88,2.166,7.257
4314902,RS,Porto Alegre,2.384,0.668,-0.902,2.151,7.248
3547809,SP,Santo Andre,1.071,-0.217,1.245,2.098,7.217
3548708,SP,Sao Bernardo Do Campo,1.432,0.025,0.565,2.022,7.173
5300108,DF,Brasilia,0.952,-0.472,1.405,1.885,7.093
4205407,SC,Florianopolis,2.011,-0.17,0.04,1.881,7.091
2111300,MA,Sao Luis,-0.196,-0.781,2.82,1.843,7.069
5208707,GO,Goiania,0.731,0.829,0.227,1.788,7.037
3552205,SP,Sorocaba,1.026,-1.172,1.892,1.746,7.013
3304557,RJ,Rio De Janeiro,1.688,-0.197,0,1.492,6.866
2609600,PE,Olinda,-1.116,1.989,0.617,1.489,6.864
4304606,RS,Canoas,-0.229,-0.098,1.699,1.372,6.796
2927408,BA,Salvador,0.315,0.729,0.29,1.333,6.774
5002704,MS,Campo Grande,0.07,-0.882,2.101,1.289,6.748
3543402,SP,Ribeirao Preto,0.887,-0.698,1.095,1.284,6.745
2704302,AL,Maceio,-0.099,0.233,1.135,1.269,6.736
2507507,PB,Joao Pessoa,0.26,0.663,0.291,1.214,6.704
1501402,PA,Belem,0.447,0.896,-0.258,1.085,6.63
2211001,PI,Teresina,-0.159,0.438,0.769,1.048,6.608
3513801,SP,Diadema,0.74,-1.01,1.249,0.978,6.567
3525904,SP,Jundiai,1,-0.607,0.416,0.809,6.469
3506003,SP,Bauru,0.108,0.586,0.109,0.802,6.465
3509502,SP,Campinas,1.633,-0.815,-0.017,0.8,6.464
2304400,CE,Fortaleza,-0.02,0.5,0.32,0.799,6.464
3205200,ES,Vila Velha,0.012,-0.964,1.582,0.63,6.365
2607901,PE,Jaboatao Dos Guararapes,-1.33,1.019,0.855,0.543,6.315
1100205,RO,Porto Velho,-0.364,1.08,-0.185,0.531,6.308
